ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,JLCPCB Part Class,link
1,10uF,"C1,C2",C0402,2,CL05A106MP5NUNC,SAMSUNG(三星),LCSC,C315248,0.033,2,C0402_L1.0-W0.5-H0.5,LCSC,Extended Part,https://item.szlcsc.com/15869.html
2,100nF,"C3,C5,C7,C8,C9,C11,C12,C13,C6",C0402,9,CL05B104KO5NNNC,SAMSUNG(三星),LCSC,C1525,0.005,2,C0402_L1.0-W0.5-H0.5,lcsc,Basic Part,https://item.szlcsc.com/15869.html
3,4.7uF,C4,C0402,1,CL05A475KP5NRNC,SAMSUNG(三星),LCSC,C368809,0.017,2,C0402_L1.0-W0.5-H0.5,LCSC,Extended Part,https://item.szlcsc.com/15869.html
4,22uF,C10,C0805,1,CL21A226MAYNNNE,SAMSUNG(三星),LCSC,C602037,0.169,2,C0805_L2.0-W1.3-H1.3,LCSC,Extended Part,https://item.szlcsc.com/373011.html
5,LESD5D5.0CT1G,"D1,D2,D3",SOD-523_L1.2-W0.8-LS1.6-BI,3,LESD5D5.0CT1G,LRC(乐山无线电),LCSC,C383211,0.018,2,SOD-523_L1.2-W0.8-LS1.6-BI,LCSC,Extended Part,https://lcsc.com/product-detail/TVS_ESD5Z5V0C_C129211.html
6,X6511WV-17H-C30D60,"J1,J2",HDR-TH_17P-P2.54-V-M,2,X6511WV-17H-C60D30,XKB Connection(中国星坤),LCSC,C725949,0.525,17,HDR-TH_17P-P2.54-M-LI-1X17P,LCSC,Extended Part,https://item.szlcsc.com/772398.html
7,105017-0001,J3,MICRO-USB-SMD_105017-0001,1,1050170001,MOLEX,LCSC,C136000,0.49,11,MICRO-USB-SMD_105017-0001,LCSC,Extended Part,https://item.szlcsc.com/147313.html
8,DZ127R-11-02-25,J5,HDR-TH_2P-P1.27-V-M,1,DZ127R-11-02-25,DEALON(德艺隆),LCSC,C2935942,0.016,2,HDR-TH_2P-P1.27-M-LI-1X2P,LCSC,Extended Part,https://item.szlcsc.com/738187.html?ref=editor&logined=true
9,210-1S-1*3Ppin Gold-plated,J14,HDR-TH_3P-P1.27-V-M-1,1,B-2101S03P-A110,Ckmtw(灿科盟),LCSC,C124354,0.043,3,HDR-TH_3P-P1.27-M-LI-1X3P,LCSC,Extended Part,https://item.szlcsc.com/25717.html
10,0805G (Green),LED1,LED0805-R-RD,1,KT-0805G,KENTO,LCSC,C2297,0.017,2,LED0805-RD,lcsc,Basic Part,https://item.szlcsc.com/88042.html
11,FC-2012HRK-620D,LED2,LED0805-RD,1,NCD0805R1,国星光电,LCSC,C84256,0.014,2,LED0805-RD,lcsc,Basic Part,https://item.szlcsc.com/255094.html
12,5.1kΩ,R1,R0402,1,0402WGF5101TCE,UNI-ROYAL(厚声),LCSC,C25905,0.003,2,R0402_L1.0-W0.5-H0.4,lcsc,Basic Part,https://item.szlcsc.com/323315.html
13,560Ω,R2,R0402,1,0402WGF5600TCE,UNI-ROYAL(厚声),LCSC,C25126,0.004,2,R0402_L1.0-W0.5-H0.4,lcsc,Extended Part,https://item.szlcsc.com/323315.html
14,1kΩ,"R3,R9",R0402,2,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702,0.002,2,R0402_L1.0-W0.5-H0.4,lcsc,Basic Part,https://item.szlcsc.com/323315.html
15,0Ω,"R4,R5",R0402,2,0402WGF0000TCE,UNI-ROYAL(厚声),LCSC,C17168,0.003,2,R0402_L1.0-W0.5-H0.4,lcsc,Basic Part,https://item.szlcsc.com/323315.html
16,10kΩ,"R6,R8,R10,R13,R11",R0402,5,0402WGF1002TCE,UNI-ROYAL(厚声),LCSC,C25744,0.003,2,R0402_L1.0-W0.5-H0.4,lcsc,Basic Part,https://item.szlcsc.com/323315.html
17,22.1kΩ,R7,R0402,1,0402WGF2212TCE,UNI-ROYAL(厚声),LCSC,C43473,0.003,2,R0402_L1.0-W0.5-H0.4,lcsc,Extended Part,https://item.szlcsc.com/323315.html
18,47.5kΩ,R12,R0402,1,0402WGF4752TCE,UNI-ROYAL(厚声),LCSC,C25896,0.003,2,R0402_L1.0-W0.5-H0.4,lcsc,Extended Part,https://item.szlcsc.com/323315.html
19,22Ω,"R14,R15",R0402,2,0402WGF220JTCE,UNI-ROYAL(厚声),LCSC,C25092,0.003,2,R0402_L1.0-W0.5-H0.4,lcsc,Basic Part,https://item.szlcsc.com/323315.html
20,PTS645SH50SMTR92LFS,"SW1,SW2",KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,2,PTS645SH50SMTR92LFS,C&K,LCSC,C221869,0.42,4,KEY-SMD_4P-L6.0-W6.0-H5.0-LS10.0-P4.50,LCSC,Extended Part,https://item.szlcsc.com/279067.html
21,AMS1117-3.3_C347222,U1,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3,UMW(友台半导体),LCSC,C347222,0.049,4,SOT-223-4P_L6.5-W3.5-H1.6-LS7.0-P2.30,LCSC,Extended Part,https://item.szlcsc.com/84517.html
22,CP2102N-A02-GQFN28R,U2,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,CP2102N-A02-GQFN28R,SKYWORKS/SILICON LABS(芯科),LCSC,C964632,1.837,29,QFN-28_L5.0-W5.0-H0.9-P0.50,LCSC,Extended Part,https://item.szlcsc.com/245064.html
23,ESP32-WROOM-32E(8MB),U3,WIFI-SMD_ESP32-WROOM-32E,1,ESP32-WROOM-32E-N8,ESPRESSIF(乐鑫),LCSC,C701342,4.576,47,WIFI-SMD_L25.5-W18.0-H3.1-ESP32-WROOM-32E,LCSC,Extended Part,https://atta.szlcsc.com/upload/public/pdf/source/20220601/0020821B65DE5740BBACA5FACC5CF3B6.pdf
24,SS8050-G,"Q2,Q4",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,SS8050-G(RANGE:120-200),CJ(江苏长电/长晶),LCSC,C164886,0.017,3,SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95,LCSC,Extended Part,https://www.diodes.com/assets/Package-Files/SOT23.pdf
25,2N7002T-7-F,"Q1,Q3",SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR,2,2N7002T-7-F,DIODES(美台),LCSC,C139445,0.096,3,SOT-523-3P_L1.6-W0.8-H0.9-LS1.6-P0.50,LCSC,Extended Part,https://item.szlcsc.com/145724.html
